Word,PartsOfSpeech,Meaning
Flirt,v. t.,"To throw with a jerk or quick effort; to fling suddenly; as, they flirt water in each other's faces; he flirted a glove, or a handkerchief."
Flisk,v. i.,To frisk; to skip; to caper.
Flite,v. i.,To scold; to quarrel.
Float,v. i.,"Anything which floats or rests on the surface of a fluid, as to sustain weight, or to indicate the height of the surface, or mark the place of, something."
Flock,n.,"A company or collection of living creatures; -- especially applied to sheep and birds, rarely to persons or (except in the plural) to cattle and other large animals; as, a flock of ravenous fowl."
Flong,,imp. &amp; p. p. of Fling.
Flood,v. i.,"A great flow of water; a body of moving water; the flowing stream, as of a river; especially, a body of water, rising, swelling, and overflowing land not usually thus covered; a deluge; a freshet; an inundation."
Flook,n.,A fluke of an anchor.
Floor,n.,The bottom or lower part of any room; the part upon which we stand and upon which the movables in the room are supported.
Flora,n.,The goddess of flowers and spring.
Flosh,n.,A hopper-shaped box or /nortar in which ore is placed for the action of the stamps.
Floss,n.,The slender styles of the pistillate flowers of maize; also called silk.
Flota,n.,"A fleet; especially, a /eet of Spanish ships which formerly sailed every year from Cadiz to Vera Cruz, in Mexico, to transport to Spain the production of Spanish America."
Flote,v. t.,To fleet; to skim.
Flour,n.,"The finely ground meal of wheat, or of any other grain; especially, the finer part of meal separated by bolting; hence, the fine and soft powder of any substance; as, flour of emery; flour of mustard."
Flout,v. t.,To mock or insult; to treat with contempt.
Flowk,n.,See 1st Fluke.
Flown,,"p. p. of Fly; -- often used with the auxiliary verb to be; as, the birds are flown."
Fluey,a.,Downy; fluffy.
Fluff,n.,"Nap or down; flue; soft, downy feathers."
Fluid,a.,"Having particles which easily move and change their relative position without a separation of the mass, and which easily yield to pressure; capable of flowing; liquid or gaseous."
Fluke,n.,The European flounder.  See Flounder.
Fluky,a.,"Formed like, or having, a fluke."
Flume,n.,"A stream; especially, a passage channel, or conduit for the water that drives a mill wheel; or an artifical channel of water for hydraulic or placer mining; also, a chute for conveying logs or lumber down a declivity."
Flunk,v. i.,"To fail, as on a lesson; to back out, as from an undertaking, through fear."
Fluo-,,"A combining form indicating fluorine as an ingredient; as in fluosilicate, fluobenzene."
Fluor,n.,A fluid state.
Flurt,n.,A flirt.
Flush,v. i.,"To flow and spread suddenly; to rush; as, blood flushes into the face."
Flute,v. i.,"A musical wind instrument, consisting of a hollow cylinder or pipe, with holes along its length, stopped by the fingers or by keys which are opened by the fingers. "
Fluty,a.,"Soft and clear in tone, like a flute."
Flies,pl. ,of Fly
Flyer,n.,One that uses wings.
Fnese,v. i.,To breathe heavily; to snort.
Foamy,a.,Covered with foam; frothy; spumy.
Focal,a.,"Belonging to,or concerning, a focus; as, a focal point."
Focus,n.,"A point in which the rays of light meet, after being reflected or refrcted, and at which the image is formed; as, the focus of a lens or mirror."
Foggy,superl.,"Filled or abounding with fog, or watery exhalations; misty; as, a foggy atmosphere; a foggy morning."
Fogie,n.,See Fogy.
Foist,n.,A light and fast-sailing ship.
Folio,n.,A leaf of a book or manuscript.
Folia,pl. ,of Folium
Folks,n. collect. & pl.,"In Anglo-Saxon times, the people of a group of townships or villages; a community; a tribe."
Folly,n.,"The state of being foolish; want of good sense; levity, weakness, or derangement of mind."
Folwe,v. t.,To follow.
Fomes,n.,"Any substance supposed to be capable of absorbing, retaining, and transporting contagious or infectious germs; as, woolen clothes are said to be active fomites."
Fonde,v. t. & i.,To endeavor; to strive; to try.
Fonge,v. t.,To take; to receive.
Fonly,adv.,Foolishly; fondly.
Fonne,n.,A fon.
Foody,a.,Eatable; fruitful.
Foots,n. pl.,"The settlings of oil, molasses, etc., at the bottom of a barrel or hogshead."
Footy,a.,"Having foots, or settlings; as, footy oil, molasses, etc."
Foray,n.,"A sudden or irregular incursion in border warfare; hence, any irregular incursion for war or spoils; a raid."
Forby,adv. & prep.,Near; hard by; along; past.
Force,v. t.,To stuff; to lard; to farce.
Fordo,v. i.,To destroy; to undo; to ruin.
Forel,n.,A kind of parchment for book covers. See Forrill.
Forge,n.,"A place or establishment where iron or other metals are wrought by heating and hammering; especially, a furnace, or a shop with its furnace, etc., where iron is heated and wrought; a smithy."
Forgo,v. i.,To pass by; to leave. See 1st Forego.
Forky,a.,Opening into two or more parts or shoots; forked; furcated.
Forme,a.,Same as Pate or Patte.
Forte,n.,The strong point; that in which one excels.
Forth,adv.,"Forward; onward in time, place, or order; in advance from a given point; on to end; as, from that day forth; one, two, three, and so forth."
Forty,a.,Four times ten; thirty-nine and one more.
Forum,n.,"A market place or public place in Rome, where causes were judicially tried, and orations delivered to the people."
Fossa,n.,"A pit, groove, cavity, or depression, of greater or less depth; as, the temporal fossa on the side of the skull; the nasal fossae containing the nostrils in most birds."
Fosse,n.,A ditch or moat.
Foule,adv.,Foully.
Fount,n.,A font.
Fourb,n.,Alt. of Fourbe
Fouty,a.,Despicable.
Fovea,n.,A slight depression or pit; a fossa.
Fowls,pl. ,of Fowl
Foxes,pl. ,of Fox
Foxed,imp. & p. p.,of Fox
Fract,v. t.,To break; to violate.
Foxly,a.,Foxlike.
Foyer,n.,A lobby in a theater; a greenroom.
Frail,n.,"A basket made of rushes, used chiefly for containing figs and raisins."
Frame,v. t.,To construct by fitting and uniting the several parts of the skeleton of any structure; 
Franc,a.,"A silver coin of France, and since 1795 the unit of the French monetary system. "
Frank,n.,A pigsty.
Frape,n.,"A crowd, a rabble."
Fraud,n.,Deception deliberately practiced with a view to gaining an unlawful or unfair advantage; artifice by which the right or interest of another is injured; injurious stratagem; deceit; trick.
Freak,v. t.,To variegate; to checker; to streak.
Freck,v. t.,To checker; to diversify.
Freed,imp. & p. p.,of Free
Freer,n.,"One who frees, or sets free."
Froze,imp.,of Freeze
Fremd,a.,Alt. of Fremed
Frena,pl. ,of Frenum
Frere,n.,A friar.
Fresh,superl,Possessed of original life and vigor; new and strong; unimpaired; sound.
Frett,n.,"The worn side of the bank of a river. See 4th Fret, n., 4."
Freta,pl. ,of Fretum
Freya,n.,"The daughter of Njord, and goddess of love and beauty; the Scandinavian Venus; -- in Teutonic myths confounded with Frigga, but in Scandinavian, distinct."
Friar,n.,A brother or member of any religious order
Fried,,imp. &amp; p. p. of Fry.
Frier,n.,One who fries.
Frigg,n.,Alt. of Frigga
Frill,v. i.,"To shake or shiver as with cold; as, the hawk frills."
Frisk,a.,Lively; brisk; frolicsome; frisky.
Frist,v. t.,"To sell upon credit, as goods."
Frith,n.,"A narrow arm of the sea; an estuary; the opening of a river into the sea; as, the Frith of Forth."
Frize,n.,See 1st Frieze.
Frizz,v. t. & n.,"See Friz, v. t. &amp; n."
Frock,n.,"A loose outer garment; especially,"
Frond,n.,"The organ formed by the combination or union into one body of stem and leaf, and often bearing the fructification; as, the frond of a fern or of a lichen or seaweed; also, the peculiar leaf of a palm tree."
Frons,n.,The forehead; the part of the cranium between the orbits and the vertex.
Front,n.,"The forehead or brow, the part of the face above the eyes; sometimes, also, the whole face."
Frore,adv.,Frostily.
Frorn,p. a.,Frozen.
Frory,a.,Frozen; stiff with cold.
Frost,v. i.,The act of freezing; -- applied chiefly to the congelation of water; congelation of fluids.
Frote,v. t.,To rub or wear by rubbing; to chafe.
Froth,n.,"The bubbles caused in fluids or liquors by fermentation or agitation; spume; foam; esp., a spume of saliva caused by disease or nervous excitement."
Frown,v. i.,"To contract the brow in displeasure, severity, or sternness; to scowl; to put on a stern, grim, or surly look."
Frowy,a.,"Musty. rancid; as, frowy butter."
Fruit,v. t.,"Whatever is produced for the nourishment or enjoyment of man or animals by the processes of vegetable growth, as corn, grass, cotton, flax, etc.; -- commonly used in the plural."
Frump,v. t.,To insult; to flout; to mock; to snub.
Frush,v. t.,To batter; to break in pieces.
Fuage,n.,Same as Fumage.
Fubby,a.,Alt. of Fubsy
Fubsy,a.,Plump; chubby; short and stuffy; as a fubsy sofa.
Fuchs,n.,A student of the first year.
Fucus,n.,"A paint; a dye; also, false show."
Fudge,n.,A made-up story; stuff; nonsense; humbug; -- often an exclamation of contempt.
Fuero,n.,A code; a charter; a grant of privileges.
Fuffy,a.,Light; puffy.
Fugle,v. i.,To maneuver; to move hither and thither.
Fugue,n.,"A polyphonic composition, developed from a given theme or themes, "
Fulbe,n.,Same as Fulahs.
Fully,adv.,"In a full manner or degree; completely; entirely; without lack or defect; adequately; satisfactorily; as, to be fully persuaded of the truth of a proposition."
Fumed,imp. & p. p.,of Fume
Fumer,n.,One that fumes.
Fumet,n.,The dung of deer.
Fumid,a.,Smoky; vaporous.
Funge,n.,A blockhead; a dolt; a fool.
Fungi,n. pl.,See Fungus.
Funic,a.,Funicular.
Funis,n.,"A cord; specifically, the umbilical cord or navel string."
Funky,a.,"Pertaining to, or characterized by, great fear, or funking."
Funny,superl.,Droll; comical; amusing; laughable.
Furld,imp. & p. p.,of Furl
Furry,a.,Covered with fur; dressed in fur.
Furze,n.,"A thorny evergreen shrub (Ulex Europaeus), "
Furzy,a. a.,"bounding in, or overgrown with, furze; characterized by furze."
Fused,imp. & p. p.,of Fuse
Fusee,n.,A flintlock gun. See 2d Fusil.
Fusel,,Alt. of Fusel oil
Fusil,v. t.,Capable of being melted or rendered fluid by heat; fusible.
Fussy,superl,Making a fuss; disposed to make an unnecessary ado about trifles; overnice; fidgety.
Fusty,superl,Moldy; musty; ill-smelling; rank.
Fuzzy,n.,Not firmly woven; that ravels.
Fytte,n.,See Fit a song.</BODY></HTML>
Gabel,n.,"A rent, service, tribute, custom, tax, impost, or duty; an excise."
Gable,n.,A cable.
Gadre,v. t. & i.,To gather.
Gadic,a.,"Pertaining to, or derived from, the cod (Gadus); -- applied to an acid obtained from cod-liver oil, viz., gadic acid."
Gaged,imp. & p. p.,of Gage
Gager,n.,A measurer. See Gauger.
Gaily,adv.,Merrily; showily. See gaily.
Galea,n.,The upper lip or helmet-shaped part of a labiate flower.
Galei,n. pl.,That division of elasmobranch fishes which includes the sharks.
Gally,v. t.,To frighten; to worry.
Galop,n.,"A kind of lively dance, in 2-4 time; also, the music to the dance."
Galpe,v. i.,"To gape,; to yawn."
Gamba,n.,A viola da gamba.
Gamed,imp. & p. p.,of Game
Gamic,a.,"Pertaining to, or resulting from, sexual connection; formed by the union of the male and female elements."
Gamin,n.,A neglected and untrained city boy; a young street Arab.
Gamma,n.,"The third letter (/, / = Eng. G) of the Greek alphabet."
Gamut,n.,The scale.
Ganch,n.,"To drop from a high place upon sharp stakes or hooks, as the Turks dropped malefactors, by way of punishment."
Ganil,n.,A kind of brittle limestone.
Ganja,n.,"The dried hemp plant, used in India for smoking. It is extremely narcotic and intoxicating."
Gansa,n.,Same as Ganza.
Ganza,n.,"A kind of wild goose, by a flock of which a virtuoso was fabled to be carried to the lunar world."
Gaped,imp. & p. p.,of Gape
Gaper,n.,One who gapes.
Garth,n.,"A close; a yard; a croft; a garden; as, a cloister garth."
Garum,n.,A sauce made of small fish. It was prized by the ancients.
Gases,pl. ,of Gas
Gassy,a.,Full of gas; like gas. Hence: [Colloq.] Inflated; full of boastful or insincere talk.
Gated,a.,Having gates.
Gaudy,superl.,"Ostentatiously fine; showy; gay, but tawdry or meretricious."
Gauge,v. t.,To measure or determine with a gauge.
Gault,n.,"A series of beds of clay and marl in the South of England, between the upper and lower greensand of the Cretaceous period."
Gaunt,a.,"Attenuated, as with fasting or suffering; lean; meager; pinched and grim."
Gaure,v. i.,To gaze; to stare.
Gauze,n.,"A very thin, slight, transparent stuff, generally of silk; also, any fabric resembling silk gauze; as, wire gauze; cotton gauze."
Gauzy,a.,"Pertaining to, or resembling, gauze; thin and slight as gauze."
Gavel,n.,A gable.
Gavot,n.,"A kind of difficult dance; a dance tune, the air of which has two brisk and lively, yet dignified, strains in common time, each played twice over."
Gawby,n.,A baby; a dunce.
Gawky,superl.,"Foolish and awkward; clumsy; clownish; as, gawky behavior. -- n. A fellow who is awkward from being overgrown, or from stupidity, a gawk."
Gayal,n.,A Southern Asiatic species of wild cattle (Bibos frontalis).
Gayly,adv.,With mirth and frolic; merrily; blithely; gleefully.
Gayne,v. i.,To avail.
Gazed,imp. & p. p.,of Gaze
Gazel,n.,"The black currant; also, the wild plum."
Gazer,n.,One who gazes.
Gazet,n.,"A Venetian coin, worth about three English farthings, or one and a half cents."
Gazon,n.,One of the pieces of sod used to line or cover parapets and the faces of earthworks.
Gecko,n.,Any lizard of the family Geckonidae. 
Geese,n.,pl. of Goose.
Geest,n.,"Alluvial matter on the surface of land, not of recent origin."
Gelid,a.,Cold; very cold; frozen.
Gelly,n.,Jelly.
Gemel,a.,Coupled; paired.
Gemma,n.,"A leaf bud, as distinguished from a flower bud."
Gemmy,n.,Full of gems; bright; glittering like a gem.
Gemul,n.,"A small South American deer (Furcifer Chilensis), with simple forked horns."
Genet,n.,Alt. of Genette
Genie,n.,See Genius.
Genio,n.,A man of a particular turn of mind.
Genii,pl. ,of Genius
Genre,n.,"A style of painting, sculpture, or other imitative art, which illustrates everyday life and manners."
Genty,a.,Neat; trim.
Genua,pl. ,of Genu
Genus,n.,"A class of objects divided into several subordinate species; a class more extensive than a species; a precisely defined and exactly divided class; one of the five predicable conceptions, or sorts of terms."
Genys,n.,See Gonys.
Geode,n.,"A nodule of stone, containing a cavity, lined with crystals or mineral matter."
Gerah,n.,A small coin and weight; 1-20th of a shekel.
Gerbe,n.,A kind of ornamental firework.
Gesse,v. t. & i.,To guess.
Geste,v. i.,To tell stories or gests.
Geten,,p. p. of Get.
Ghast,a.,To strike aghast; to affright.
Ghaut,n.,A pass through a mountain.
Ghess,v. t. & i.,See Guess.
Ghole,n.,See Ghoul.
Ghost,n.,The spirit; the soul of man.
Ghoul,n.,"An imaginary evil being among Eastern nations, which was supposed to feed upon human bodies."
Ghyll,n.,A ravine. See Gill a woody glen.
Giant,n.,A man of extraordinari bulk and stature.
Gibed,imp. & p. p.,of Gibe
Gibel,n.,A kind of carp (Cyprinus gibelio); -- called also Prussian carp.
Giber,n.,One who utters gibes.
Giddy,superl.,"Having in the head a sensation of whirling or reeling about; having lost the power of preserving the balance of the body, and therefore wavering and inclined to fall; lightheaded; dizzy."
Giffy,n.,See Jiffy.
Guide,n.,"The leather strap by which the shield of a knight was slung across the shoulder, or across the neck and shoulder."
Gigot,n.,Alt. of Giggot
Gilse,n.,See Grilse.
Gipsy,n. a.,See Gypsy.
Girth,n.,"A band or strap which encircles the body; especially, one by which a saddle is fastened upon the back of a horse."
Gisle,n.,A pledge.
Guist,n.,Same as Joust.
Given,p. p.,of Give
Giver,n.,One who gives; a donor; a bestower; a grantor; one who imparts or distributes.
Gives,n.,Fetters.
Glade,n.,An open passage through a wood; a grassy open or cleared space in a forest.
Glair,a.,"The white of egg. It is used as a size or a glaze in bookbinding, for pastry, etc."
Glama,n.,"A copious gummy secretion of the humor of the eyelids, in consequence of some disorder; blearedness; lippitude."
Gland,n.,"An organ for secreting something to be used in, or eliminated from, the body; as, the sebaceous glands of the skin; the salivary glands of the mouth."
Glans,n.,"The vascular body which forms the apex of the penis, and the extremity of the clitoris."
Glare,v. i.,"To shine with a bright, dazzling light."
Glary,a.,Of a dazzling luster; glaring; bright; shining; smooth.
Glass,v. t.,"A hard, brittle, translucent, and commonly transparent substance"
Glaum,v. i.,"To grope with the hands, as in the dark."
Glave,n.,See Glaive.
Glase,v. t.,"To furnish (a window, a house, a sash, a ease, etc.) with glass."
Glaze,v. i.,To become glazed of glassy.
Glazy,a.,Having a glazed appearance; -- said of the fractured surface of some kinds of pin iron.
Glead,n.,A live coal. See Gleed.
Gleam,v. i.,"To disgorge filth, as a hawk."
Glean,v. t.,"To gather after a reaper; to collect in scattered or fragmentary parcels, as the grain left by a reaper, or grapes left after the gathering."
Glebe,n.,A lump; a clod.
Gleby,a.,Pertaining to the glebe; turfy; cloddy; fertile; fruitful.
Glede,v. i.,The common European kite (Milvus ictinus). This name is also sometimes applied to the buzzard.
Gleed,v. i.,A live or glowing coal; a glede.
Gleek,n.,A jest or scoff; a trick or deception.
Gleen,v. i.,To glisten; to gleam.
Gleet,n.,"A transparent mucous discharge from the membrane of the urethra, commonly an effect of gonorrhea."
Glent,n. & v.,See Glint.
Glide,n.,The glede or kite.
Gliff,n.,A transient glance; an unexpected view of something that startles one; a sudden fear.
Glike,n.,A sneer; a flout.
Glint,n.,"A glimpse, glance, or gleam."
Glist,n.,Glimmer; mica.
Gloam,v. i.,To begin to grow dark; to grow dusky.
Gloar,v. i.,To squint; to stare.
Gloat,v. i.,"To look steadfastly; to gaze earnestly; -- usually in a bad sense, to gaze with malignant satisfaction, passionate desire, lust, or avarice."
Globe,n.,"A round or spherical body, solid or hollow; a body whose surface is in every part equidistant from the center; a ball; a sphere."
Globy,a.,"Resembling, or pertaining to, a globe; round; orbicular."
Glode,,imp. of Glide.
Glome,v. i.,"To gloom; to look gloomy, morose, or sullen."
Gloom,n.,"Partial or total darkness; thick shade; obscurity; as, the gloom of a forest, or of midnight."
Glore,v. i.,To glare; to glower.
Glory,n.,"Praise, honor, admiration, or distinction, accorded by common consent to a person or thing; high reputation; honorable fame; renown."
Glose,n. & v.,See Gloze.
Gloss,n.,"Brightness or luster of a body proceeding from a smooth surface; polish; as, the gloss of silk; cloth is calendered to give it a gloss."
Glout,v. i.,To pout; to look sullen.
Glove,n.,"A cover for the hand, or for the hand and wrist, with a separate sheath for each finger. The latter characteristic distinguishes the glove from the mitten."
Gloze,v. i.,To flatter; to wheedle; to fawn; to talk smoothly.
Glued,imp. & p. p.,of Glue
Gluer,n.,One who cements with glue.
Gluey,a.,"Viscous; glutinous; of the nature of, or like, glue."
Glume,n.,"The bracteal covering of the flowers or seeds of grain and grasses; esp., an outer husk or bract of a spikelt."
Glump,v. i.,To manifest sullenness; to sulk.
Glyph,n.,"A sunken channel or groove, usually vertical. See Triglyph."
Gnarl,v. i.,To growl; to snarl.
Gnash,v. t.,"To strike together, as in anger or pain; as, to gnash the teeth."
Gnide,v. t.,To rub; to bruise; to break in pieces.
Gnome,n.,"An imaginary being, supposed by the Rosicrucians to inhabit the inner parts of the earth, and to be the guardian of mines, quarries, etc."
Going,p. pr. & vb. n.,of Go
Goafs,pl. ,of Goaf
Gobet,n.,See Gobbet.
Go-by,n.,"A passing without notice; intentional neglect; thrusting away; a shifting off; adieu; as, to give a proposal the go-by."
Godly,n.,"Pious; reverencing God, and his character and laws; obedient to the commands of God from love for, and reverence of, his character; conformed to God's law; devout; righteous; as, a godly life."
Goety,n.,Invocation of evil spirits; witchcraft.
Golde,n.,Alt. of Goolde
Golet,n.,The gullet.
Goman,n.,A husband; a master of a family.
Gombo,n.,See Gumbo.
Gomer,n.,A Hebrew measure. See Homer.
Gonad,n.,"One of the masses of generative tissue primitively alike in both sexes, but giving rise to either an ovary or a testis; a generative gland; a germ gland."
Gonys,n.,"The keel or lower outline of a bird's bill, so far as the mandibular rami are united."
Goods,n. pl.,"See Good, n., 3."
Goody,n.,"A bonbon, cake, or the like; -- usually in the pl."
Goose,n.,"Any large web-footen bird of the subfamily Anserinae, and belonging to Anser, Branta, Chen, and several allied genera. See Anseres."
Goost,n.,Ghost; spirit.
Goral,n.,"An Indian goat antelope (Nemorhedus goral), resembling the chamois."
Gorce,n.,A pool of water to keep fish in; a wear.
Gored,imp. & p. p.,of Gore
Gorge,n.,The throat; the gullet; the canal by which food passes to the stomach.
Gorma,n.,The European cormorant.
Gorse,n.,Furze. See Furze.
Goter,n.,a gutter.
Gouge,n.,"A chisel, with a hollow or semicylindrical blade, for scooping or cutting holes, channels, or grooves, in wood, stone, etc.; a similar instrument, with curved edge, for turning wood."
Bouge,v. t.,To scoop out with a gouge.
Goura,n.,"One of several species of large, crested ground pigeons of the genus Goura, inhabiting New Guinea and adjacent islands. "
Gourd,n.,"A fleshy, three-celled, many-seeded fruit, "
Gouty,a.,"Diseased with, or subject to, the gout; as, a gouty person; a gouty joint."
Gowan,n.,"The daisy, or mountain daisy."
Graal,n.,"See Grail., a dish."
Grace,n.,"The exercise of love, kindness, mercy, favor; disposition to benefit or serve another; favor bestowed or privilege conferred."
Grade,n.,"A step or degree in any series, rank, quality, order; relative position or standing; as, grades of military rank; crimes of every grade; grades of flour."
Graff,n.,A steward; an overseer.
Graft,n.,"A small shoot or scion of a tree inserted in another tree, the stock of which is to support and nourish it. The two unite and become one tree, but the graft determines the kind of fruit."
Grail,n.,A book of offices in the Roman Catholic Church; a gradual.
Grain,v. & n.,See Groan.
Graip,n.,A dungfork.
Grame,a.,Anger; wrath; scorn.
Grand,superl.,"Of large size or extent; great; extensive; hence, relatively great; greatest; chief; principal; as, a grand mountain; a grand army; a grand mistake."
Grane,v. & n.,See Groan.
Grant,v. t.,To give over; to make conveyance of; to give the possession or title of; to convey; -- usually in answer to petition.
Grape,n.,"A well-known edible berry growing in pendent clusters or bunches on the grapevine. The berries are smooth-skinned, have a juicy pulp, and are cultivated in great quantities for table use and for making wine and raisins."
Grapy,a.,"Composed of, or resembling, grapes."
Grasp,v. t.,To seize and hold by clasping or embracing with the fingers or arms; to catch to take possession of.
Grass,n.,Popularly: Herbage; the plants which constitute the food of cattle and other beasts; pasture.
Grate,a.,Serving to gratify; agreeable.
Grave,v. t.,"To clean, as a vessel's bottom, of barnacles, grass, etc., and pay it over with pitch; -- so called because graves or greaves was formerly used for this purpose."
Gravy,n.,"The juice or other liquid matter that drips from flesh in cooking, made into a dressing for the food when served up."
Graze,v. t.,"To feed or supply (cattle, sheep, etc.) with grass; to furnish pasture for."
Great,superl.,"Large in space; of much size; big; immense; enormous; expanded; -- opposed to small and little; as, a great house, ship, farm, plain, distance, length."
Grebe,n.,"One of several swimming birds or divers, of the genus Colymbus (formerly Podiceps), and allied genera, found in the northern parts of America, Europe, and Asia. They have strong, sharp bills, and lobate toes."
Grees,pl. ,of Gree
Grice,pl. ,of Gree
Grise,pl. ,of Gree
Grize,pl. ,of Gree
Greed,n.,"An eager desire or longing; greediness; as, a greed of gain."
Greek,a.,Of or pertaining to Greece or the Greeks; Grecian.
Green,superl.,Having the color of grass when fresh and growing; resembling that color of the solar spectrum which is between the yellow and the blue; verdant; emerald.
Greet,a.,Great.
Grege,v. t.,Alt. of Gregge
Grego,n.,"A short jacket or cloak, made of very thick, coarse cloth, with a hood attached, worn by the Greeks and others in the Levant."
Greit,v. i.,"See Greet, to weep."
Grene,a.,Green.
Grete,a.,Great.
Greve,n.,A grove.
Gride,e. i.,"To cut with a grating sound; to cut; to penetrate or pierce harshly; as, the griding sword."
Grief,a.,"Pain of mind on account of something in the past; mental suffering arising from any cause, as misfortune, loss of friends, misconduct of one's self or others, etc.; sorrow; sadness."
Griff,n.,Grasp; reach.
Grill,v. t.,A gridiron.
Grime,n.,"Foul matter; dirt, rubbed in; sullying blackness, deeply ingrained."
Grimy,superl.,Full of grime; begrimed; dirty; foul.
Grind,v. t.,"To reduce to powder by friction, as in a mill, or with the teeth; to crush into small fragments; to produce as by the action of millstones."
Grint,,"3d pers. sing. pres. of Grind, contr. from grindeth."
Gripe,n.,A vulture; the griffin.
Grist,n.,"Ground corn; that which is ground at one time; as much grain as is carried to the mill at one time, or the meal it produces."
Grith,n.,Peace; security; agreement.
Groan,v. i.,"To give forth a low, moaning sound in breathing; to utter a groan, as in pain, in sorrow, or in derision; to moan."
Groat,n.,"An old English silver coin, equal to four pence."
Groin,n.,The snout of a swine.
Grond,,obs. imp. of Grind.
Groom,n.,"A boy or young man; a waiter; a servant; especially, a man or boy who has charge of horses, or the stable."
Grope,v. i.,To feel with or use the hands; to handle.
Gross,superl.,Great; large; bulky; fat; of huge size; excessively large.
Grote,n.,A groat.
Group,n.,"A cluster, crowd, or throng; an assemblage, either of persons or things, collected without any regular form or arrangement; as, a group of men or of trees; a group of isles."
Grout,n.,Coarse meal; ground malt; pl. groats.
Grove,v.,"A smaller group of trees than a forest, and without underwood, planted, or growing naturally as if arranged by art; a wood of small extent."
Grovy,a.,"Pertaining to, or resembling, a grove; situated in, or frequenting, groves."
Growl,v. i.,"To utter a deep guttural sound, sa an angry dog; to give forth an angry, grumbling sound."
Grown,,p. p. of Grow.
Gruel,n.,"A light, liquid food, made by boiling meal of maize, oatmeal, or fiour in water or milk; thin porridge."
Gruff,superl.,"Of a rough or stern manner, voice, or countenance; sour; surly; severe; harsh."
Grume,n.,"A thick, viscid fluid; a clot, as of blood."
Grunt,v. t.,"To make a deep, short noise, as a hog; to utter a short groan or a deep guttural sound."
Gryde,v. i.,To gride. See Gride.
Grype,v. t.,To gripe.
Guaco,n.,"A plant (Aristolochia anguicida) of Carthagena, used as an antidote to serpent bites."
Guana,n.,See Iguana.
Guano,n.,A substance found in great abundance on some coasts or islands frequented by sea fowl
Guara,n.,The scarlet ibis. See Ibis.
Guard,n.,To protect from danger;
Guava,n.,"A tropical tree, or its fruit, of the genus Psidium. "
Guelf,n.,"One of a faction in Germany and Italy, in the 12th and 13th centuries, which supported the House of Guelph and the pope"
Guess,v. t.,"To form an opinion concerning, without knowledge or means of knowledge; to judge of at random; to conjecture."
Guest,n.,A visitor; a person received and entertained in one's house or at one's table; a visitor entertained without pay.
Guiac,n.,Same as Guaiac.
Gulge,n.,See Gige.
Guild,v. t.,"An association of men belonging to the same class, or engaged in kindred pursuits, "
Guile,n.,Craft; deceitful cunning; artifice; duplicity; wile; deceit; treachery.
Guilt,v. t.,"The criminality and consequent exposure to punishment resulting from willful disobedience of law, "
Guise,n.,Customary way of speaking or acting; custom;
GulAe,pl. ,of Gula
Gulas,pl. ,of Gula
Gular,a.,"Pertaining to the gula or throat; as, gular plates. See Illust. of Bird, and Bowfin."
Gulch,n.,Act of gulching or gulping.
Gules,n.,"The tincture red, indicated in seals and engraved figures of escutcheons by parallel vertical lines. Hence, used poetically for a red color or that which is red."
Gulfy,a.,Full of whirlpools or gulfs.
Gully,n.,A large knife.
Gulph,n.,See Gulf.
Gulty,a.,Guilty.
Gumbo,n.,A soup thickened with the mucilaginous pods of the okra; okra soup.
Gumma,n.,"A kind of soft tumor, usually of syphilitic origin."
Gummy,a.,Consisting of gum; viscous; adhesive; producing or containing gum; covered with gum or a substance resembling gum.
Gunny,,Alt. of Gunny cloth
Gurge,n.,A whirlpool.
Gurmy,n.,A level; a working.
Gurry,n.,"An alvine evacuation; also, refuse matter."
Gurts,n. pl.,Groatts.
Gusto,n.,Nice or keen appreciation or enjoyment; relish; taste; fancy.
Gusty,a.,"Subject to, or characterized by, gusts or squalls; windy; stormy; tempestuous."
Gutta,n.,A drop.
Gutty,a.,Charged or sprinkled with drops.
Guyed,imp. & p. p.,of Guy
Guyle,v. t.,To guile.
Gyall,n.,See Gayal.
Gybed,imp. & p. p.,of Gybe
Gynno,v. i.,To begin. See Gin.
Gypse,n.,See Gypsum.
Gypsy,n.,"One of a vagabond race, whose tribes, coming originally from India,"
Gyral,a.,Moving in a circular path or way; whirling; gyratory.
Gyron,n.,A subordinary of triangular form having one of its angles at the fess point and the opposite aide at the edge of the escutcheon. 
Gyrus,n.,"A convoluted ridge between grooves; a convolution; as, the gyri of the brain; the gyri of brain coral.  See Brain."
Habit,n.,"The usual condition or state of a person or thing, either natural or acquired"
Hable,a.,See Habile.
Hades,n.,"The nether world (according to classical mythology, the abode of the shades, ruled over by Hades or Pluto); the invisible world; the grave."
Hadji,n.,A Mohammedan pilgrim to Mecca; -- used among Orientals as a respectful salutation or a title of honor.
Ha-ha,n.,"A sunk fence; a fence, wall, or ditch, not visible till one is close upon it."
Haily,a.,Of hail.
Hairy,a.,Bearing or covered with hair; made of or resembling hair; rough with hair; rough with hair; rough with hair; hirsute.
Hakim,n.,"A wise man; a physician, esp. a Mohammedan."
Haled,imp. & p. p.,of Hale
Halma,n.,"The long jump, with weights in the hands, -- the most important of the exercises of the Pentathlon."
Halos,pl. ,of Halo
Halse,v. t.,To embrace about the neck; to salute; to greet.
Halve,n.,A half.
